px,py,nx,ny,minutes,seconds,millis,total_millis
1,1,1024,1024,0,22,02,22002
1,1,1024,1024,0,22,04,22004
1,1,1024,1024,0,22,25,22025
1,1,1024,1024,0,22,13,22013
1,1,1024,1024,0,22,04,22004
1,2,1024,512,0,12,77,12077
1,2,1024,512,0,12,46,12046
1,2,1024,512,0,12,71,12071
1,2,1024,512,0,12,93,12093
1,2,1024,512,0,12,21,12021
2,1,512,1024,0,12,52,12052
2,1,512,1024,0,12,48,12048
2,1,512,1024,0,12,99,12099
2,1,512,1024,0,13,16,13016
2,1,512,1024,0,13,43,13043
2,2,512,512,0,10,97,10097
2,2,512,512,0,10,91,10091
2,2,512,512,0,10,56,10056
2,2,512,512,0,11,40,11040
2,2,512,512,0,10,29,10029
4,1,256,1024,0,10,85,10085
4,1,256,1024,0,17,88,17088
4,1,256,1024,0,17,19,17019
4,1,256,1024,0,16,57,16057
4,1,256,1024,0,11,34,11034
1,4,1024,256,0,12,20,12020
1,4,1024,256,0,14,16,14016
1,4,1024,256,0,13,35,13035
1,4,1024,256,0,12,95,12095
1,4,1024,256,0,13,69,13069
1,1,2048,2048,1,25,38,85038
1,1,2048,2048,1,25,37,85037
1,1,2048,2048,1,24,93,84093
1,1,2048,2048,1,25,52,85052
1,1,2048,2048,1,26,30,86030
1,2,2048,1024,0,43,63,43063
1,2,2048,1024,0,43,38,43038
1,2,2048,1024,0,44,07,44007
1,2,2048,1024,0,44,09,44009
1,2,2048,1024,0,44,58,44058
2,1,1024,2048,0,44,14,44014
2,1,1024,2048,0,44,37,44037
2,1,1024,2048,0,44,61,44061
2,1,1024,2048,0,49,29,49029
2,1,1024,2048,0,47,26,47026
2,2,1024,1024,0,35,86,35086
2,2,1024,1024,0,40,45,40045
2,2,1024,1024,0,32,16,32016
2,2,1024,1024,0,41,12,41012
2,2,1024,1024,0,40,26,40026
4,1,512,2048,0,33,95,33095
4,1,512,2048,0,40,53,40053
4,1,512,2048,0,38,88,38088
4,1,512,2048,0,34,27,34027
4,1,512,2048,0,31,81,31081
1,4,2048,512,0,50,44,50044
1,4,2048,512,0,52,53,52053
1,4,2048,512,0,51,68,51068
1,4,2048,512,0,55,72,55072
1,4,2048,512,1,06,19,66019
1,1,4096,4096,6,29,77,389077
1,1,4096,4096,6,36,50,396050
1,1,4096,4096,6,49,66,409066
1,1,4096,4096,9,52,84,592084
1,1,4096,4096,6,03,54,363054
1,2,4096,2048,3,01,58,181058
1,2,4096,2048,3,00,88,180088
1,2,4096,2048,3,07,03,187003
1,2,4096,2048,3,02,72,182072
1,2,4096,2048,3,05,53,185053
2,1,2048,4096,3,10,25,190025
2,1,2048,4096,3,12,80,192080
2,1,2048,4096,3,00,35,180035
2,1,2048,4096,3,00,90,180090
2,1,2048,4096,2,58,72,178072
2,2,2048,2048,1,36,90,96090
2,2,2048,2048,1,48,98,108098
2,2,2048,2048,1,53,74,113074
2,2,2048,2048,1,55,44,115044
2,2,2048,2048,1,59,55,119055
4,1,1024,4096,2,02,81,122081
4,1,1024,4096,1,53,02,113002
4,1,1024,4096,1,52,71,112071
4,1,1024,4096,1,54,87,114087
4,1,1024,4096,1,53,96,113096
1,4,4096,1024,2,44,62,164062
1,4,4096,1024,2,45,08,165008
1,4,4096,1024,2,45,31,165031
1,4,4096,1024,2,43,72,163072
1,4,4096,1024,2,48,33,168033
